animal,latin_name,order,sex,LociVS,diff_LociVS,mod_diff_LociVS,midpoint_lat,mass,dichro,sexual_dichro,gen_time,survival,age_first_breed,max_lifespan,mating_system_og,mating_system_binary,paternal_care,migration
Aegithalos_fuliginosus,Aegithalos_fuliginosus,Passeriformes,M,57.61326132,7.64795205,7.64795205,38.40572402,53.90828864,0,21.67606033,1.984527519,0.51055258,0.914418651,8.442796911,NA,NA,1,0
Aegithalos_iouschistos,Aegithalos_iouschistos,Passeriformes,F,76.96968504,2.00044734,2.00044734,34.71412026,88.28972193,0,25.57555993,2.393004781,0.4385,1,10.8,0,0,1,0
Aegithalos_iouschistos,Aegithalos_iouschistos,Passeriformes,M,78.97013238,2.00044734,2.00044734,34.71412026,88.28972193,0,25.57555993,2.393004781,0.4385,1,10.8,0,0,1,0
Aegithalos_leucogenys,Aegithalos_leucogenys,Passeriformes,F,56.61856741,2.20865863,2.20865863,40.22774652,79.81922854,0,15.31586059,2.011282403,0.451948769,1.058647602,7.760577977,0,0,1,1
Aegithalos_leucogenys,Aegithalos_leucogenys,Passeriformes,M,58.82722604,2.20865863,2.20865863,40.22774652,79.81922854,0,15.31586059,2.011282403,0.451948769,1.058647602,7.760577977,0,0,1,1
Aegithina_lafresnayei,Aegithina_lafresnayei,Passeriformes,M,155.3583108,31.668486,31.668486,18.59474159,303.0873071,1,28.63177394,2.43279741,0.603674227,1.053248562,7.636138569,NA,NA,1,0
Aegithina_lafresnayei,Aegithina_lafresnayei,Passeriformes,F,123.6898248,31.668486,31.668486,18.59474159,303.0873071,1,28.63177394,2.43279741,0.603674227,1.053248562,7.636138569,NA,NA,1,0
Aegithina_nigrolutea,Aegithina_nigrolutea,Passeriformes,M,154.3152031,47.1910569,47.1910569,29.17182131,295.5552499,1,95.10533913,2.566227497,0.624520617,1.092475436,8.091029331,0,0,1,0
Aegithina_nigrolutea,Aegithina_nigrolutea,Passeriformes,F,107.1241462,47.1910569,47.1910569,29.17182131,295.5552499,1,95.10533913,2.566227497,0.624520617,1.092475436,8.091029331,0,0,1,0
Aegithina_tiphia,Aegithina_tiphia,Passeriformes,M,125.4996534,-11.6728786,11.6728786,17.84062751,305.426454,0.8,85.05039587,2.434474754,0.60389645,1.053941495,8,0,0,1,0
Aegithina_tiphia,Aegithina_tiphia,Passeriformes,F,137.172532,-11.6728786,11.6728786,17.84062751,305.426454,0.8,85.05039587,2.434474754,0.60389645,1.053941495,8,0,0,1,0
Aegithina_viridissima,Aegithina_viridissima,Passeriformes,F,117.8178747,-0.5775185,0.5775185,1.842909482,393.7809542,0,56.50963563,2.774580989,0.653503082,1.163825325,7.797501771,0,0,1,0
Aegithina_viridissima,Aegithina_viridissima,Passeriformes,M,117.2403562,-0.5775185,0.5775185,1.842909482,393.7809542,0,56.50963563,2.774580989,0.653503082,1.163825325,7.797501771,0,0,1,0
Aethopyga_bella,Aethopyga_bella,Passeriformes,F,110.8377192,126.4526369,126.4526369,14.53162583,24.33853094,1.8,62.1119,1.737991238,0.547191997,0.787486967,4.758424623,NA,NA,1,0
Aethopyga_bella,Aethopyga_bella,Passeriformes,M,237.2903561,126.4526369,126.4526369,14.53162583,24.33853094,1.8,62.1119,1.737991238,0.547191997,0.787486967,4.758424623,NA,NA,1,0
Aethopyga_boltoni,Aethopyga_boltoni,Passeriformes,M,147.2141298,11.2141298,11.2141298,9.244480796,90.92542527,0.6,44.32243284,1.938357561,0.592038539,0.879353709,5.241191124,NA,NA,1,0
Aethopyga_boltoni,Aethopyga_boltoni,Passeriformes,F,136,11.2141298,11.2141298,9.244480796,90.92542527,0.6,44.32243284,1.938357561,0.592038539,0.879353709,5.241191124,NA,NA,1,0
Aethopyga_christinae,Aethopyga_christinae,Passeriformes,F,95.66550251,144.6673689,144.6673689,30.62090855,44.53060812,1.2,119.030631,2.032553545,0.590499309,1.144208007,4,NA,NA,1,0
Aethopyga_christinae,Aethopyga_christinae,Passeriformes,M,240.3328714,144.6673689,144.6673689,30.62090855,44.53060812,1.2,119.030631,2.032553545,0.590499309,1.144208007,4,NA,NA,1,0
Aethopyga_duyvenbodei,Aethopyga_duyvenbodei,Passeriformes,F,135.7018791,87.2981209,87.2981209,4.641539619,62.62489504,0.8,47.87745132,1.899053931,0.586996146,0.852326951,5.034803946,3,1,0,0
Aethopyga_duyvenbodei,Aethopyga_duyvenbodei,Passeriformes,M,223,87.2981209,87.2981209,4.641539619,62.62489504,0.8,47.87745132,1.899053931,0.586996146,0.852326951,5.034803946,3,1,0,0
Aethopyga_eximia,Aethopyga_eximia,Passeriformes,F,98.64519458,141.1902482,141.1902482,-9.478830751,62.62489504,1.4,96.48928049,1.88504725,0.581235016,0.852326951,5.084559649,NA,NA,1,0
Aethopyga_eximia,Aethopyga_eximia,Passeriformes,M,239.8354428,141.1902482,141.1902482,-9.478830751,62.62489504,1.4,96.48928049,1.88504725,0.581235016,0.852326951,5.084559649,NA,NA,1,0
Aethopyga_flagrans,Aethopyga_flagrans,Passeriformes,M,191.2867416,99.2867416,99.2867416,18.1093614,79.81922854,1.2,104.6686452,1.888785087,0.575569919,0.869815094,5.299440752,NA,NA,1,0
Aethopyga_flagrans,Aethopyga_flagrans,Passeriformes,F,92,99.2867416,99.2867416,18.1093614,79.81922854,1.2,104.6686452,1.888785087,0.575569919,0.869815094,5.299440752,NA,NA,1,0
